,Unnamed: 0,global_id,Caption,NameOfStation,lat,long
192,192,1773746,metro,Марьино,55.651296,37.743716
193,193,1773747,metro,Марьино,55.6510084,37.7438447
194,194,1773748,metro,Марьино,55.6491637,37.7438608
195,195,1773750,metro,Марьино,55.649279,37.744483
196,196,1773751,metro,Марьино,55.648937,37.744606
197,197,1773752,metro,Кузнецкий мост,55.761541,37.624185
198,198,1773753,metro,Кузьминки,55.705308,37.763751
199,199,1773754,metro,Кузьминки,55.7060321,37.7640246
200,200,1773755,metro,Кузьминки,55.704826,37.767415
201,201,1773757,metro,Кунцевская,55.730675,37.445477
202,202,1773758,metro,Кунцевская,55.73082,37.446469
203,203,1773759,metro,Кунцевская,55.730541,37.445568
204,204,1773760,metro,Кунцевская,55.730666,37.446528
205,205,1773761,metro,Курская,55.758613,37.658992
206,206,1773762,metro,Курская,55.7585107,37.6601558
207,207,1773763,metro,Курская,55.757855,37.660164
208,208,1773764,metro,Курская,55.7561757,37.6599122
209,209,1773765,metro,Кутузовская,55.7394196,37.5347739
210,210,1773766,metro,Кутузовская,55.7405718,37.534101
211,211,1773767,metro,Ленинский проспект,55.706913,37.585043
212,212,1773768,metro,Марьино,55.651236,37.743045
213,213,1773769,metro,Марьино,55.6509113,37.7431633
214,214,1773770,metro,Маяковская,55.771143,37.594548
215,215,1773771,metro,Маяковская,55.76926,37.596533
216,216,1773772,metro,Нагорная,55.6728519,37.6110945
217,217,1773773,metro,Нахимовский проспект,55.663502,37.6062028
218,218,1773774,metro,Нахимовский проспект,55.6635432,37.6069995
219,219,1773775,metro,Нахимовский проспект,55.661613,37.6041081
220,220,1773776,metro,Нахимовский проспект,55.6617517,37.6047437
221,221,1773777,metro,Нахимовский проспект,55.6637839,37.6061591
222,222,1773778,metro,Новогиреево,55.7522622,37.8145804
223,223,1773779,metro,Новогиреево,55.751722,37.81491
224,224,1773780,metro,Новогиреево,55.7512382,37.8185824
225,225,1773781,metro,Новогиреево,55.7516932,37.8184026
226,226,1773782,metro,Новокосино,55.7461213,37.8655979
227,227,1773783,metro,Новокосино,55.744476,37.8658385
228,228,1773784,metro,Новокосино,55.743829,37.862832
229,229,1773785,metro,Новокосино,55.7441695,37.8623576
230,230,1773786,metro,Новокосино,55.745471,37.861671
231,231,1773789,metro,Пятницкое шоссе,55.8546831,37.354253
232,232,1773790,metro,Пятницкое шоссе,55.855143,37.354014
233,233,1773791,metro,Пятницкое шоссе,55.855288,37.353016
234,234,1773794,metro,Телецентр,55.8217898,37.609212
235,235,1773795,metro,Тёплый стан,55.619857,37.505166
236,236,1773796,metro,Тёплый стан,55.6198202,37.5063141
237,237,1773797,metro,Медведково,55.886025,37.661274
238,238,1773798,metro,Митино,55.845533,37.363824
239,239,1773799,metro,Митино,55.846763,37.361271
240,240,1773800,metro,Митино,55.845982,37.360512
241,241,1773801,metro,Молодёжная,55.741246,37.415869
242,242,1773802,metro,Молодёжная,55.740201,37.417866
243,243,1773803,metro,Мякинино,55.82354,37.385197
244,244,1773804,metro,Нагатинская,55.6822357,37.6209364
245,245,1773805,metro,Нагатинская,55.682143,37.621332
246,246,1773806,metro,Охотный ряд,55.757306,37.614745
247,247,1773807,metro,Охотный ряд,55.757195,37.615083
248,248,1773808,metro,Охотный ряд,55.7566567,37.6156184
249,249,1773809,metro,Охотный ряд,55.75608,37.617727
250,250,1773810,metro,Охотный ряд,55.756804,37.61563
251,251,1773811,metro,Павелецкая,55.7313438,37.6362414
252,252,1773812,metro,Нагатинская,55.682188,37.621783
253,253,1773813,metro,Нагатинская,55.68417,37.6227098
254,254,1773814,metro,Нагорная,55.6729139,37.6103001
255,255,1773815,metro,Павелецкая,55.729861,37.639543
256,256,1773817,metro,Парк культуры,55.7360872,37.5949799
257,257,1773818,metro,Парк Победы,55.73644,37.51592
258,258,1773819,metro,Парк Победы,55.735804,37.517105
259,259,1773820,metro,Парк Победы,55.73631,37.517599
260,260,1773821,metro,Парк Победы,55.735922,37.517692
261,261,1773822,metro,Парк Победы,55.736633,37.517273
262,262,1773823,metro,Партизанская,55.7884901,37.7496596
263,263,1773824,metro,Медведково,55.8879931,37.6614571
264,264,1773825,metro,Международная,55.747892,37.533378
265,265,1773826,metro,Менделеевская,55.7814401,37.5987019
266,266,1773827,metro,Менделеевская,55.781943,37.599007
267,267,1773828,metro,Менделеевская,55.7816926,37.5984772
268,268,1773829,metro,Митино,55.846255,37.359469
269,269,1773830,metro,Митино,55.846321,37.361159
270,270,1773831,metro,Митино,55.844829,37.363396
271,271,1773832,metro,Митино,55.847006,37.360486
272,272,1773833,metro,Пражская,55.6115949,37.6032311
273,273,1773834,metro,Преображенская площадь,55.795534,37.7148632
274,274,1773835,metro,Преображенская площадь,55.7953081,37.7148765
275,275,1773836,metro,Преображенская площадь,55.796922,37.716974
276,276,1773837,metro,Преображенская площадь,55.795982,37.71706
277,277,1773838,metro,Преображенская площадь,55.7968666,37.7166493
278,278,1773839,metro,Преображенская площадь,55.796064,37.717543
279,279,1773840,metro,Пролетарская,55.7317821,37.664368
280,280,1773841,metro,Пролетарская,55.7312101,37.6645773
281,281,1773842,metro,Пролетарская,55.73131,37.664926
282,282,1773843,metro,Проспект Вернадского,55.6778375,37.5071875
283,283,1773844,metro,Проспект Мира,55.7819543,37.633349
284,284,1773845,metro,Проспект Мира,55.7795686,37.6335334
285,285,1773846,metro,Профсоюзная,55.6772799,37.5618179
286,286,1773847,metro,Профсоюзная,55.6770979,37.5623706
287,287,1773848,metro,Профсоюзная,55.6788868,37.5635613
288,288,1773849,metro,Профсоюзная,55.6786988,37.5640979
289,289,1773850,metro,Пушкинская,55.7654151,37.6038161
290,290,1773852,metro,Полянка,55.7368106,37.6186237
291,291,1773854,metro,Пражская,55.613775,37.604379
292,292,1773855,metro,Пражская,55.6114647,37.604446
293,293,1773856,metro,Пражская,55.6110863,37.6047469
294,294,1773857,metro,Пражская,55.6136747,37.6048726
295,295,1773858,metro,Пражская,55.6114306,37.6025606
296,296,1773859,metro,Пражская,55.6109456,37.6024484
297,297,1773860,metro,Первомайская,55.795712,37.799006
298,298,1773861,metro,Первомайская,55.793647,37.799096
299,299,1773862,metro,Первомайская,55.795727,37.79961
300,300,1773863,metro,Первомайская,55.79365,37.799751
301,301,1773864,metro,Перово,55.7511859,37.7844802
302,302,1773865,metro,Перово,55.750977,37.784195
303,303,1773866,metro,Перово,55.7511446,37.7850385
304,304,1773867,metro,Перово,55.751753,37.788378
305,305,1773868,metro,Перово,55.75124,37.788346
306,306,1773869,metro,Пионерская,55.736059,37.467458
307,307,1773871,metro,Планерная,55.8595651,37.4367687
308,308,1773872,metro,Площадь Ильича,55.747275,37.6807937
309,309,1773873,metro,Площадь Революции,55.756397,37.623306
310,310,1773875,metro,Полежаевская,55.7776443,37.5172062
311,311,1773876,metro,Полежаевская,55.7770229,37.5171557
312,312,1773877,metro,Полежаевская,55.7775861,37.5176384
313,313,1773878,metro,Петровско-Разумовская,55.836665,37.5756124
314,314,1773879,metro,Печатники,55.692654,37.727827
315,315,1773880,metro,Печатники,55.6928903,37.7278293
316,316,1773881,metro,Печатники,55.692389,37.728458
317,317,1773882,metro,Печатники,55.692675,37.7284457
318,318,1773883,metro,Пионерская,55.735944,37.466756
319,319,1773884,metro,Полежаевская,55.777657,37.5215
320,320,1773886,metro,Полежаевская,55.77796,37.521486
321,321,1773887,metro,Тёплый стан,55.6196587,37.5071612
322,322,1773888,metro,Тургеневская,55.7654719,37.6366194
323,323,1773889,metro,Тургеневская,55.7653368,37.6369063
324,324,1773890,metro,Тушинская,55.8256692,37.4360367
325,325,1773891,metro,Тушинская,55.8254341,37.4370076
326,326,1773892,metro,Тушинская,55.8273392,37.4374154
327,327,1773893,metro,Тушинская,55.8281911,37.4380376
328,328,1773894,metro,Улица Горчакова,55.5420806,37.5319534
329,329,1773895,metro,Улица 1905 года,55.765435,37.560437
330,330,1773896,metro,Филёвский парк,55.739437,37.4829878
331,331,1773898,metro,Фили,55.74529,37.515767
332,332,1773899,metro,Фрунзенская,55.7274309,37.5805775
333,333,1773900,metro,Царицыно,55.6222568,37.6682219
334,334,1773901,metro,Царицыно,55.62263,37.668722
335,335,1773902,metro,Царицыно,55.6224821,37.668925
336,336,1773903,metro,Царицыно,55.6204932,37.6698636
337,337,1773904,metro,Царицыно,55.620199,37.6704
338,338,1773905,metro,Тёплый стан,55.6195654,37.5060675
339,339,1773906,metro,Тёплый стан,55.617601,37.508677
340,340,1773907,metro,Тимирязевская,55.818659,37.574511
341,341,1773908,metro,Тимирязевская,55.818747,37.575101
342,342,1773909,metro,Тимирязевская,55.8188162,37.5780576
343,343,1773910,metro,Третьяковская,55.740683,37.625617
344,344,1773911,metro,Трубная,55.7678427,37.6218566
345,345,1773912,metro,Тульская,55.70783,37.622461
346,346,1773913,metro,Тульская,55.709564,37.62259
347,347,1773914,metro,Пролетарская,55.732291,37.668333
348,348,1773915,metro,Проспект Вернадского,55.6765476,37.5045266
349,349,1773916,metro,Проспект Вернадского,55.6766633,37.5047335
350,350,1773917,metro,Проспект Вернадского,55.6763594,37.5052562
351,351,1773918,metro,Проспект Вернадского,55.676238,37.5050632
352,352,1773919,metro,Проспект Вернадского,55.6759002,37.5052832
353,353,1773920,metro,Проспект Вернадского,55.6761702,37.5057448
354,354,1773921,metro,Пролетарская,55.732445,37.6680428
355,355,1773922,metro,Пролетарская,55.7319672,37.6677589
356,356,1773923,metro,Лермонтовский проспект,55.7007835,37.853893
357,357,1773924,metro,Боровицкая,55.7505094,37.6091093
358,358,1773928,metro,Охотный ряд,55.758683,37.617566
359,359,1773930,metro,Свиблово,55.8543991,37.6514459
360,360,1773931,metro,Свиблово,55.855739,37.654372
361,361,1773932,metro,Севастопольская,55.6516395,37.5981861
362,362,1773933,metro,Севастопольская,55.651406,37.5981808
363,363,1773934,metro,Севастопольская,55.65096,37.5986848
364,364,1773935,metro,Севастопольская,55.6511966,37.5986795
365,365,1773936,metro,Семёновская,55.78315566,37.71929008
